Movie Name,Language,Year,Seen,Size (MB),IMDB Rating,My Rating,Genre,
Coneheads,English,1993,Yes,700.22,5.00,4,Comedy-Sci-Fi,
Constantine,English,2005,Yes,548.82,6.70,7,Drama-Fantasy-Mystery,
Contagion 2011 AMIABLE,English,2011,No,699.98,NA,NA,,
Cool Runnings,English,1993,Yes,700.15,6.60,7,Adventure-Comedy-Family-Sport,
Cop Out,English,2010,Yes,703.90,5.60,NA,Action-Comedy-Crime,
Corporate,Hindi,2006,Yes,693.82,6.80,7,Drama,
Courage Under Fire,English,1996,Yes,701.18,6.60,NA,Action-Drama-Mystery-Thriller-War,
Cradle 2 the Grave,English,2003,Yes,959.96,5.40,NA,Action-Crime-Drama-Thriller,
Crash,English,2004,Yes,701.51,8.00,8,Drama,
Crash [1996],English,1996,Yes,701.51,6.20,6,Drama-Thriller,
Crazy  Stupid  Love.,English,2011,Yes,989.11,7.50,NA,Comedy-Drama-Romance,
Crook: It's Good to Be Bad,Hindi,2010,Yes,401.14,4.90,NA,Action-Drama-Thriller,
Crouching Tiger  Hidden Dragon (Wo hu cang long),English,2000,Yes,702.06,8.00,9,Action-Adventure-Drama-Fantasy-Romance,
Cruel Intentions,English,1999,Yes,493.13,6.80,NA,Drama-Romance-Thriller,
Cruel Intentions 3,English,2004,Yes,277.49,4.70,NA,Drama-Thriller,
Cry_Wolf,English,2005,Yes,1295.10,5.80,7,Drama-Horror-Mystery-Thriller,
Cube,English,1997,Yes,700.45,7.50,8,Horror-Mystery-Sci-Fi-Thriller,
Cube 2: Hypercube,English,2002,Yes,701.02,5.60,6,Horror-Mystery-Sci-Fi-Thriller,
Cube Collection,English,2002,Yes,1400.85,NA,7,Horror-Mystery-Sci-Fi-Thriller,
Dada Kondake FILMS Collection,Marathi,NA,Yes,3213.54,NA,8,Comedy,
Danny the Dog,English,2005,Yes,1435.93,7.10,NA,Action-Crime-Drama-Thriller,
Daredevil,English,2003,Yes,699.84,5.40,7,Action-Crime-Fantasy-Thriller,
Darling,Hindi,2007,Yes,698.37,4.00,NA,Drama-Horror-Romance-Thriller,
Das Boot,English,1981,Yes,1403.44,8.50,8,Action-Drama-History-War,
Dasavatharam,Tamil,2008,Yes,1911.96,6.70,7,Action-Adventure-Drama-Thriller,
Dasvidaniya,Hindi,2008,Yes,378.02,7.70,8,Comedy-Drama,
Date Night,English,2010,Yes,701.89,6.40,NA,Comedy-Crime-Romance-Thriller,
Daylight Robbery,English,2008,Yes,700.95,6.00,NA,Crime-Drama-Thriller,
De Dhakka,Marathi,2008,Yes,701.06,5.50,NA,Family,
Dead Poets Society,English,1989,Yes,799.60,7.80,NA,Drama,
Death at a Funeral,English,2010,Yes,700.51,5.30,7,Comedy,
Death Proof,English,2007,Yes,700.99,7.20,NA,Action-Crime-Thriller,
Death Race,English,2008,Yes,700.71,6.50,7,Action-Sci-Fi-Thriller,
Death Sentence,English,2007,Yes,702.00,6.80,NA,Action-Crime-Drama-Thriller,
Deep Blue Sea,English,1999,Yes,1018.11,5.60,NA,Action-Sci-Fi-Thriller,
Deep Impact,English,1998,Yes,560.66,6.00,7,Action-Drama-Romance-Sci-Fi-Thriller,
Defiance,English,2008,Yes,1402.91,7.20,NA,Action-Drama-History-Thriller-War,
Definitely  Maybe,English,2008,Yes,702.05,7.30,NA,Comedy-Drama-Romance,
Delhi Belly,Hindi,2011,Yes,703.29,7.60,8,Comedy-Crime-Drama,
Desi Boyz,Hindi,2011,Yes,710.06,5.80,5,Comedy-Drama,
Despicable Me,English,2010,Yes,598.36,7.50,8,Animation-Adventure-Comedy-Crime-Family-Fantasy,
Devashappath Khot Sangen Khar Sanganar Nahi,Marathi,NA,Yes,768.00,NA,NA,Comedy-Family,
Devdas,Hindi,2002,Yes,1405.23,7.20,8,Musical-Romance,
Dhamaal,Hindi,2007,Yes,513.88,6.40,NA,Comedy,
Dhan Dhana Dhan Goal,Hindi,2007,Yes,698.50,4.50,NA,Sport,
Diary of a Wimpy Kid,English,2010,Yes,699.54,6.00,NA,Comedy-Family,
Die Hard,English,1988,Yes,800.74,8.30,8,Action-Thriller,
Die Hard 2,English,1990,Yes,701.26,7.00,7,Action-Crime-Thriller,
Die Hard Quadrilogy,English,1988,Yes,3016.65,NA,8,Action-Crime-Thriller,
